edge,subcortical,cortical,F,p,eta2,omega2,kw_H,kw_p,mean_r_DLD,sd_r_DLD,mean_r_HSL,sd_r_HSL,mean_r_TD,sd_r_TD,p_fdr,omnibus_sig
NAcc-ACC,NAcc,ACC,0.2559442127897819,0.7749631556779929,0.003494786070709163,-0.010565369828140153,0.10384185964323933,0.9494039334134569,0.08485109540651295,0.09008906016184945,0.08228888409905985,0.08707863494649384,0.07508416846606995,0.0682759607953963,0.871833550137742,False
NAcc-AI,NAcc,AI,0.12908027422929866,0.8791384196699024,0.0021168601832732923,-0.011952917580614217,0.6600383944994519,0.7189099322059547,0.03752269156690268,0.07444199924961062,0.0452307759879877,0.08359355850378479,0.04341173541803944,0.05508043665517303,0.8791384196699024,False
NAcc-LPFC,NAcc,LPFC,0.6435018758381464,0.5286459068021986,0.009175871631499079,-0.004844329631284978,0.6333152355076663,0.7285801653399724,0.04776617365022285,0.08649166482661833,0.0564298088448358,0.08733135636455923,0.036334257618315075,0.07689654059727478,0.6796875944599696,False
Caudate-ACC,Caudate,ACC,2.3973397018878133,0.0982160319288751,0.028807053658069848,0.014928441672706204,5.533186787382363,0.0628758335312924,0.3011685700320255,0.184359028756374,0.35660228317973575,0.1532809955661861,0.2739306353843943,0.16148166481169499,0.6196696155093235,False
Caudate-AI,Caudate,AI,1.1548187146678586,0.32159778380701504,0.0233181794616729,0.009399428454780074,3.980152508694971,0.13668500222246535,0.2698767878811351,0.15817202303907876,0.3280407980478087,0.19453606026623366,0.268352388668138,0.14815593357922185,0.6196696155093235,False
Caudate-LPFC,Caudate,LPFC,0.9913773317081298,0.37659916207622196,0.01696439877942393,0.0029997177032744125,1.3748459802244497,0.502870302465396,0.36834055319086245,0.14953071385481986,0.3969440548877575,0.17774690673465154,0.34641754970423977,0.15075771222264692,0.6196696155093235,False
Putamen-ACC,Putamen,ACC,1.4576746228381146,0.23998156795922948,0.022674238201664226,0.008750806202128644,4.960638804298469,0.08371648209715027,0.22435795728813077,0.18935868672257145,0.28672590610528925,0.19770454785470007,0.2068677376579131,0.17094895678632513,0.6196696155093235,False
Putamen-AI,Putamen,AI,0.8967220355870189,0.4131130770062157,0.020333477121762197,0.006393079027733376,4.494942191127109,0.10566610644561292,0.21942478243961833,0.16628149483208382,0.2721574385642206,0.23010415872757584,0.20972584749809672,0.1487914649828196,0.6196696155093235,False
Putamen-LPFC,Putamen,LPFC,1.7616364620920517,0.17966451056205823,0.03091284502810514,0.017049745740611816,3.9069248405584176,0.14178231078841022,0.27391352951757914,0.15276698560288746,0.3365663878644943,0.18197930509282817,0.2557902546544997,0.17388521883742275,0.6196696155093235,False
