edge,subcortical,cortical,slope_TD,slope_DLD,slope_HSL,inter_beta_DLD,inter_z_DLD,inter_wald_p_DLD,inter_beta_HSL,inter_z_HSL,inter_wald_p_HSL,inter_lr_p,alpha,inter_perm_p,inter_lr_p_fdr,inter_perm_p_fdr
NAcc-ACC,NAcc,ACC,4.5109936221054925,-2.891420302316699,-3.104069808613171,-7.402413924422191,-2.893892547842819,0.0038049834772518744,-7.6150634307186635,-2.3857098647233457,0.017046193329297375,0.009761158934071167,0.43650749090568863,0.0239880059970015,0.017570086081328103,0.02754872563718141
NAcc-AI,NAcc,AI,7.462970216998792,-4.703360668855454,-1.9786277476972502,-12.166330885854245,-4.080090036879668,4.501826019807881e-05,-9.441597964696042,-2.8416913282533143,0.004487491629843503,0.00026042942529665316,0.37948961520576024,0.0014992503748125937,0.0023438648276698786,0.005997001499250375
NAcc-LPFC,NAcc,LPFC,4.791205133102827,-1.7412559256731486,-1.2200020924380874,-6.532461058775976,-2.6887123243783333,0.007172820376760681,-6.011207225540915,-2.0043780197459657,0.04502958202994383,0.025472324134598334,0.46262146770581464,0.02448775612193903,0.028656364651423124,0.02754872563718141
Caudate-ACC,Caudate,ACC,1.9357128857529682,-0.46236151964401606,-0.9836664910233475,-2.3980744053969842,-2.5053567606567793,0.012232793556764486,-2.9193793767763156,-2.317725333466161,0.02046425329998779,0.018704564474216513,0.45668753527440853,0.01649175412293853,0.024048725752564087,0.024737631184407794
Caudate-AI,Caudate,AI,1.3543515217561037,-0.15401083309578967,0.40669112809021013,-1.5083623548518934,-1.2879294470999638,0.19777052381494198,-0.9476603936658936,-0.7600288905560396,0.4472373158848125,0.4357543533957039,0.5003789429585098,0.3243378310844578,0.4357543533957039,0.3243378310844578
Caudate-LPFC,Caudate,LPFC,2.4828658409089748,-1.0945534911537127,0.38403122066444473,-3.5774193320626875,-3.373943086947132,0.0007409968622694986,-2.09883462024453,-1.885506570787285,0.05936147816436651,0.003906183722346191,0.43369211797901197,0.001999000499750125,0.00878891337527893,0.005997001499250375
Putamen-ACC,Putamen,ACC,1.6871517736740276,-1.2412524525850608,-0.8896983825648914,-2.9284042262590884,-3.4430543885504648,0.0005751836255693584,-2.576850156238919,-2.5333945529929314,0.011296372204571995,0.0014170011216066503,0.4121411559529478,0.0014992503748125937,0.006376505047229926,0.005997001499250375
Putamen-AI,Putamen,AI,2.097477527506367,-0.9528468408345048,0.272631491720575,-3.050324368340872,-2.883892896890453,0.003927923195278161,-1.824846035785792,-1.7635296559605564,0.07781120007414058,0.015095691298180721,0.44204553548396475,0.0079960019990005,0.022643536947271083,0.014392803598200898
Putamen-LPFC,Putamen,LPFC,2.0592679753220353,-1.4236212262763481,0.10584742811631331,-3.4828892015983834,-3.388637232942072,0.0007024087060418528,-1.953420547205722,-1.8850626880079244,0.059421374786904915,0.0033472208177106203,0.430468334683903,0.0029985007496251873,0.00878891337527893,0.006746626686656671
