edge,subcortical,cortical,contrast,diff_z,hedges,gh_T,gh_p,dunn_p,omnibus_p,omnibus_p_fdr,omnibus_sig,protected
NAcc-ACC,NAcc,ACC,DLD-TD,0.010486399869732904,0.128521249848776,0.6775953802323356,0.7770824522497358,1.0,0.7749631556779929,0.871833550137742,False,False
NAcc-ACC,NAcc,ACC,HSL-TD,0.00780504395235479,0.10186447921971203,0.40220716271843004,0.914885487128405,1.0,0.7749631556779929,0.871833550137742,False,False
NAcc-ACC,NAcc,ACC,DLD-HSL,0.0026813559173781143,0.028749106543344966,0.12416990596145341,0.9915371561794151,1.0,0.7749631556779929,0.871833550137742,False,False
NAcc-AI,NAcc,AI,DLD-TD,-0.0057176135139156495,-0.08700825450659594,-0.45843074479216844,0.890768105845621,1.0,0.8791384196699024,0.8791384196699024,False,False
NAcc-AI,NAcc,AI,HSL-TD,0.0021434529565004037,0.03242238326241705,0.12049482871334492,0.9920292437970768,1.0,0.8791384196699024,0.8791384196699024,False,False
NAcc-AI,NAcc,AI,DLD-HSL,-0.007861066470416053,-0.09879156868926915,-0.4055536052068276,0.9134991503914895,1.0,0.8791384196699024,0.8791384196699024,False,False
NAcc-LPFC,NAcc,LPFC,DLD-TD,0.011699825795902348,0.14138046930636716,0.7574149936091186,0.7298242417851001,1.0,0.5286459068021986,0.6796875944599696,False,False
NAcc-LPFC,NAcc,LPFC,HSL-TD,0.02064395546065547,0.2520227671013821,1.0434093443597776,0.553941606278773,1.0,0.5286459068021986,0.6796875944599696,False,False
NAcc-LPFC,NAcc,LPFC,DLD-HSL,-0.008944129664753123,-0.10032129537899352,-0.4251970103555063,0.9053405865926732,1.0,0.5286459068021986,0.6796875944599696,False,False
Caudate-ACC,Caudate,ACC,DLD-TD,0.03397995305283019,0.1667634099980987,0.8920606834977404,0.6465151559452633,0.35465575809294614,0.0982160319288751,0.6196696155093235,False,False
Caudate-ACC,Caudate,ACC,HSL-TD,0.09296029653333332,0.4922283932329827,2.195403352980091,0.08166230384307427,0.05612692634250659,0.0982160319288751,0.6196696155093235,False,False
Caudate-ACC,Caudate,ACC,DLD-HSL,-0.05898034348050313,-0.2829673970294999,-1.2793327166789148,0.41216686284205517,0.23988303865064212,0.0982160319288751,0.6196696155093235,False,False
Caudate-AI,Caudate,AI,DLD-TD,0.0029549099319722827,0.017138355468356258,0.09217495053079074,0.9953270304532857,0.9398775560729478,0.32159778380701504,0.6196696155093235,False,False
Caudate-AI,Caudate,AI,HSL-TD,0.07328696585112848,0.3890573000775679,1.4931774052127467,0.30559347869093934,0.17932469498366674,0.32159778380701504,0.6196696155093235,False,False
Caudate-AI,Caudate,AI,DLD-HSL,-0.0703320559191562,-0.3519373803993986,-1.3826431889536286,0.3589458106439015,0.17932469498366674,0.32159778380701504,0.6196696155093235,False,False
Caudate-LPFC,Caudate,LPFC,DLD-TD,0.026525258837895915,0.14323040420391273,0.7743381965909756,0.7195225119466451,0.9828766097801929,0.37659916207622196,0.6196696155093235,False,False
Caudate-LPFC,Caudate,LPFC,HSL-TD,0.06927186408672292,0.34449082600399933,1.3608171670070064,0.3709201265183173,0.7683867861628145,0.37659916207622196,0.6196696155093235,False,False
Caudate-LPFC,Caudate,LPFC,DLD-HSL,-0.04274660524882701,-0.20682591569481715,-0.817792079084599,0.6941508837345475,0.9828766097801929,0.37659916207622196,0.6196696155093235,False,False
Putamen-ACC,Putamen,ACC,DLD-TD,0.018620228607665074,0.08734734566414805,0.4714909429724073,0.8848237999044763,0.4978106366341951,0.23998156795922948,0.6196696155093235,False,False
Putamen-ACC,Putamen,ACC,HSL-TD,0.08908150838865742,0.40947676729468446,1.7131422597274015,0.21167545331911286,0.0787710337601231,0.23998156795922948,0.6196696155093235,False,False
Putamen-ACC,Putamen,ACC,DLD-HSL,-0.07046127978099234,-0.31339732963405675,-1.3047760511235118,0.39936609635010734,0.20855729643954263,0.23998156795922948,0.6196696155093235,False,False
Putamen-AI,Putamen,AI,DLD-TD,0.010780494212853792,0.060433474088396784,0.3249518361427758,0.9434876329189736,0.6652209388942694,0.4131130770062157,0.6196696155093235,False,False
Putamen-AI,Putamen,AI,HSL-TD,0.07624582902199076,0.3677646541066126,1.346355029157886,0.3797453552210386,0.10995317803966569,0.4131130770062157,0.6196696155093235,False,False
Putamen-AI,Putamen,AI,DLD-HSL,-0.06546533480913697,-0.2969974188961471,-1.122553705985183,0.5062387036300373,0.18273668398697224,0.4131130770062157,0.6196696155093235,False,False
Putamen-LPFC,Putamen,LPFC,DLD-TD,0.016711554040315435,0.0869869328156452,0.4778559254365621,0.8818841136813511,0.43304239475552075,0.17966451056205823,0.6196696155093235,False,False
Putamen-LPFC,Putamen,LPFC,HSL-TD,0.09537990971550514,0.4487126998092732,1.8744437151944358,0.15812910931091217,0.14461690740293837,0.17966451056205823,0.6196696155093235,False,False
Putamen-LPFC,Putamen,LPFC,DLD-HSL,-0.0786683556751897,-0.39924827081450964,-1.564203305630849,0.27222564916720293,0.38612234793227107,0.17966451056205823,0.6196696155093235,False,False
