contrast,diff_z,hedges,gh_T,gh_p,dunn_p,omnibus_p,protected
DLD-TD,-0.021749341468160377,-0.12920041761154585,-0.7146242358127617,0.7553567138691338,0.5061721386427391,0.22079404186147694,False
HSL-TD,0.05180847603009259,0.2779870305042381,1.200448704457629,0.45882329201312244,0.3993387481217914,0.22079404186147694,False
DLD-HSL,-0.07355781749825296,-0.44804496790349413,-1.7589946641723904,0.19578074078655672,0.2317140472175942,0.22079404186147694,False
