,ACC,AI,LPFC,NAcc,Caudate,Putamen
ACC,,0.12872681810373351,0.03679818184371013,0.04731504107551635,0.06807277397255249,0.05624695122254078
AI,0.1287268181037335,,0.22821698711175362,0.009562347951506607,0.1649581390621108,0.07361064371053755
LPFC,0.036798181843710136,0.22821698711175362,,-0.0018056720375607838,0.1428731350650362,0.06230595309408907
NAcc,0.04731504107551635,0.009562347951506605,-0.0018056720375607912,,0.051181128919106735,0.04857904775329224
Caudate,0.06807277397255249,0.16495813906211082,0.1428731350650362,0.051181128919106735,,0.10568791750744341
Putamen,0.05624695122254076,0.07361064371053756,0.06230595309408906,0.04857904775329224,0.10568791750744341,
