,ACC,AI,LPFC,NAcc,Caudate,Putamen
ACC,,0.12051189001104237,0.04510088711972571,0.03447453297500306,0.05265407249195845,0.059907470742879346
AI,0.12051189001104237,,0.2628785233082741,-0.003415267490518603,0.14237849314740683,0.052440972826137126
LPFC,0.045100887119725715,0.2628785233082741,,-0.026764261285175152,0.09487139516117202,0.024460366662953443
NAcc,0.03447453297500306,-0.0034152674905186054,-0.026764261285175152,,0.04252645634889562,0.02931238108520579
Caudate,0.05265407249195845,0.14237849314740686,0.09487139516117202,0.04252645634889562,,0.08864345765484487
Putamen,0.059907470742879346,0.052440972826137126,0.024460366662953436,0.02931238108520579,0.08864345765484485,
