,ACC,AI,LPFC,NAcc,Caudate,Putamen
ACC,,0.12051197525479196,0.045100953897901544,0.034474531430686815,0.11377334346510243,0.1827512619441583
AI,0.12051197525479197,,0.2628785183213372,-0.0034153030670267042,0.3339606609236088,0.1726029685947943
LPFC,0.045100953897901544,0.26287851832133724,,-0.026764269367293664,0.27339095133271374,0.12686462700710252
NAcc,0.03447453143068681,-0.0034153030670267042,-0.026764269367293654,,0.0673745777459204,0.0984081361190266
Caudate,0.11377334346510241,0.3339606609236089,0.2733909513327137,0.06737457774592041,,0.5026912927517894
Putamen,0.1827512619441583,0.1726029685947943,0.1268646270071025,0.09840813611902657,0.5026912927517894,
