edge,subcortical,cortical,slope_TD,slope_DLD,inter_beta,inter_t,inter_p,emo_main_p,group_main_p,r2,inter_p_fdr
NAcc-ACC,NAcc,ACC,0.026127415918240297,-0.0015966037576850348,-0.027724019675925332,-1.7488916125894702,0.08989751807597418,0.09845200533351536,0.12471781919809428,0.10043533903980617,0.40453883134188384
NAcc-AI,NAcc,AI,0.007891246570591835,-0.002690430423929519,-0.010581676994521354,-0.6376690356318963,0.5282259098454267,0.6267274188753975,0.5703538393406484,0.029278009445738662,0.6791475983726915
NAcc-LPFC,NAcc,LPFC,0.018295052255125677,0.0010073208310255252,-0.01728773142410015,-0.9634439726614235,0.342549367612315,0.3002806409639753,0.5104223016110774,0.03567941884504544,0.5138240514184725
Caudate-ACC,Caudate,ACC,0.0038643353378995868,0.0022618768978211606,-0.0016024584400784261,-0.041597097853422346,0.9670783511598722,0.9181429217909589,0.7029795951625109,0.00649336984464266,0.9670783511598722
Caudate-AI,Caudate,AI,-0.0789465493949772,0.0029964302150435884,0.08194297961002078,2.148824306162147,0.03931646848037523,0.04026510478276262,0.5710651278507952,0.2862215677688066,0.3538482163233771
Caudate-LPFC,Caudate,LPFC,-0.052659903795335944,-0.002013843905835505,0.05064605988950044,1.1981711049431418,0.23964953641693165,0.20749735033742453,0.6250158987694081,0.061209630432078166,0.5138240514184725
Putamen-ACC,Putamen,ACC,0.000380968111187225,-0.0042126650036566834,-0.004593633114843908,-0.13197909019642118,0.8958271864594856,0.9910518473497117,0.7375480778292514,0.019515905997863014,0.9670783511598722
Putamen-AI,Putamen,AI,-0.04364741373287676,-0.0032873032949981076,0.040360110437878655,1.0349363068505528,0.3084568699663266,0.2563254048433296,0.6205924584508289,0.1439948501624697,0.5138240514184725
Putamen-LPFC,Putamen,LPFC,-0.05482738693411616,-0.002182492550343716,0.05264489438377244,1.5193011705008692,0.1385063484508342,0.11206774621595177,0.5786983373539794,0.09953821629764648,0.4155190453525026
